#"Step","Potential Energy (kJ/mole)","Temperature (K)"
346,-509.4897092353826,35.16999765523967
347,-509.55091235887846,35.22850166971298
348,-509.5768767559359,35.16971855309978
349,-509.6015710308948,35.47802641959218
350,-509.55513678884233,35.56237960802454
351,-509.4520577739445,36.03892467138969
352,-509.30964783762784,35.94495639488985
353,-509.1292457319892,35.87326608241634
354,-508.8685596927352,35.921106899461144
355,-508.5753119100192,35.94890040259183
356,-508.21414053343176,35.77093359721688
357,-507.7867058900012,35.47001225981928
358,-507.33120519270904,35.21423507464073
359,-506.82700623775486,34.62125245271797
360,-506.3069057177174,34.620345487435756
361,-505.7804693600887,34.563294551265315
362,-505.296379745054,34.33099600940168
363,-504.8105045585448,34.303332036656876
364,-504.34178606405874,34.16402923642587
365,-503.94762639648377,34.09838010330392
366,-503.61188928912156,34.33197376279338
367,-503.37431713863145,34.34080989839344
368,-503.17521906710977,34.18897033686304
369,-503.015869002968,34.515753448291704
370,-502.8846775374132,34.71440789836761
371,-502.8198478505676,34.6732636997018
372,-502.811702268563,34.41138341417951
373,-502.8530530136275,34.67191909923414
374,-502.9746570121379,35.29743312293097
375,-503.09567302758643,35.822503795694765
376,-503.2686435251597,36.12551484444542
377,-503.4618289365299,36.42353121719003
378,-503.6801373055145,36.75953277648298
379,-503.8603347231747,37.046407055979714
380,-504.01036217570237,37.20502190841642
381,-504.1024544712401,37.48465836200609
382,-504.1859401406766,37.07257888550572
383,-504.19698429881595,37.46349972913768
384,-504.1262833996057,38.03748433979619
385,-503.9766059446816,38.37916925162258
386,-503.72790212327277,37.8985671758585
387,-503.43575572444274,38.35291286955265
388,-503.0660528252552,38.22506685561463
389,-502.59271799927876,38.27514654764378
390,-502.0644397639304,38.5291502841348
391,-501.51877422982596,38.37517662004306
392,-501.02601959436316,38.4297852447669
393,-500.5675215895501,37.701203574841735
394,-500.12789153898217,37.35211788370627
395,-499.76703311746695,37.73569993495397
396,-499.47823966087344,37.16459129368791
397,-499.2744388751504,36.8644539455869
398,-499.15102341113436,36.96439568577714
399,-499.14860945430877,36.70246037734753
400,-499.28455046123065,37.11815501112312
401,-499.4898512213755,37.03246780119292
402,-499.75631746695456,37.8982761700573
403,-500.08357551100147,38.47551685244618
404,-500.47938566024703,39.016107899725135
405,-500.8901945907541,38.87828142641312
406,-501.31615703616,39.047483291215734
407,-501.69286356749933,39.619754978738534
408,-502.0182487573758,40.308086081037736
409,-502.2549436253335,40.528110990907784
410,-502.401820950039,40.92988047136492
411,-502.4737356240357,41.5347804858623
412,-502.46363394534745,41.67104410467679
413,-502.3257248483439,41.311249484808755
414,-502.0427774942048,41.17933754131064
415,-501.6367851058027,40.514076935761054
416,-501.14569314097315,40.65416294323809
417,-500.5451080561347,41.16171627271703
418,-499.9117972053337,40.534691472792495
419,-499.2441962346002,39.973255727758136
420,-498.5022855335376,39.652447791385526
421,-497.7281125622461,39.239915292038425
422,-497.0124825570477,39.07603583298033
423,-496.2880576982734,39.043709544749824
424,-495.68348768339547,38.59273388102866
425,-495.1835115729961,38.32364122346751
426,-494.8108439620055,38.35273956674005
427,-494.5935749326668,38.46947606852515
428,-494.517149539085,38.59033808104568
429,-494.57347083389266,38.63769205705839
430,-494.7498203418664,39.121820285360464
431,-495.0452632513785,39.699893678460874
432,-495.37179604211207,40.2613772721847
433,-495.72276205212347,40.542035096442085
434,-496.0977419107301,41.21692175251808
435,-496.50358680654915,41.625506926238984
436,-496.86888710010646,42.01481450663037
437,-497.23541398739553,42.517313769929764
438,-497.5798750190686,42.59467476723844
439,-497.9071277314176,42.9041174655104
440,-498.17276390571476,42.981567580298844
441,-498.3697755720513,43.11448576814592
442,-498.4688619676286,42.959690579744084
443,-498.52983629006025,42.72522803218539
444,-498.5510064873685,42.66276097990581
445,-498.54706043028546,43.09228566563998
446,-498.5263055719668,43.03899033313415
447,-498.45292746080133,43.14320540398682
448,-498.3535094666967,43.55136430314465
449,-498.21814420359476,43.6906867513961
450,-498.03204777462287,44.171377448193134
451,-497.8122421237866,44.080705721827776
452,-497.5736095532764,44.17055026732965
453,-497.3465956132362,43.82614958360404
454,-497.11523942061837,44.21357648171626
455,-496.90746878892753,43.754589117762436
456,-496.7167532047423,43.210351914743086
457,-496.54529580190666,44.00872530984923
458,-496.35536484025545,44.040470903364046
459,-496.1233718196108,43.705287476480216
460,-495.9185186408512,43.617148525038836
